DAG,Datahub_Composer,OtherNotes
PUBSUB_to_BQ_fcty_cntct_evnt_inbnd_load_app,b1,Supported
PUBSUB_to_BQ_fcty_cntct_evnt_receipt_load_app,b1,Supported
PUBSUB_to_BQ_fcty_cntct_evnt_tracking_load_app,b1,Supported
PUBSUB_to_GCS_cntct_evnt_outbnd_load_app,b1,Supported
BQ_to_BQ_fcty_casa_adobe_analytics_event_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_browser_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_browser_type_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_color_depth_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_connection_type_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_country_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_event_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_javascript_version_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_languages_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_operating_systems_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_plugins_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_referrer_type_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_resolution_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_ref_search_engines_load_app,b2,Supported
GCS_to_BQ_fcty_casa_adobe_analytics_trans_event_load_app,b2,Supported
S3_to_GCS_casa_ingestion_app,b2,Supported
SFTP_to_GCS_cloudcheck_filewatch_load_app,b2,Supported
GCS_to_BQ_fcty_cloudcheck_gateway_station_load_app,b2,Supported
BQ_to_BQ_fcty_cloudcheck_gateway_station_load_app,b2,Supported
GCS_to_BQ_fcty_saq_fms_sq_reports_all_categories_ab_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_saq_fms_sq_reports_all_categories_bc_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_gis_address2_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_gis_building_node_ll_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_gis_equipment_locations_load_app,,Supported; Aaditya
BQ_to_BQ_fcty_gis_physical_path_daily_snpsht_load_app,,Supported; Aaditya
BQ_to_BQ_fcty_gis_service_address_daily_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_fwds_availblty_rqst_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_availblty_rspns_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_domain_value_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_assignment_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_assignment_status_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_attribute_value_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_equipment_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_location_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_processing_state_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_product_category_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_relationship_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_req_skill_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_reroute_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_status_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_job_type_completion_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_language_text_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_remark_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_team_member_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_team_member_setting_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_team_member_time_entry_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_wo_component_attr_val_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_wo_contact_telecom_detail_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_wo_party_involvement_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_attribute_value_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_component_detail_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_component_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_component_status_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_cust_equip_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_detail_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_location_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_milestone_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_party_contact_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_relationship_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_service_load_app,b2,Supported
GCS_to_BQ_fcty_fwds_work_order_status_load_app,b2,Supported
fwds_job_assignment_load_app,b2,Supported
fwds_team_member_time_entry_load_app,b2,Supported
BQ_to_BQ_fcty_fwds_load_app,b2,Supported
GCS_to_BQ_fcty_refpds_codedecode_load_app,,Supported
GCS_to_BQ_fcty_sap_del_det_lips_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_sap_del_hdr_likp_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_sap_gm_det_mseg_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_sap_gm_hdr_mkpf_load_app,,Supported; Aaditya
GCS_to_BQ_fcty_sap_gm_ser_ser03_load_app,,Supported; Aaditya
